Age,Cluster,District,Female_15_29,Female_30,Gendered_HH_Type,KFP_Comp_Feed,KFP_Comp_Feed_2,KFP_criticalhandwashing,KFP_Dietary_Diversity,KFP_Exclusive,KFP_Initiation,KFP_minmeal,Men_15_29,Men_30,Participate_CareGroup,Participate_CashTransfer,Participate_Disaster,Participate_FFB,Participate_GenderedClimate,Participate_IGA,Participate_Natural,Participate_PTS,Participate_ResilienceDesign,Participate_SAADialoguesGender,Participate_SuppFeeding,Participate_TVET,Participate_VillageSavings,Participate_WASH,Sex,Village,Ward,Frame1_3,Frame3,program,KFP_contbf,KFP_micronutrient,KFP_TimelyImmun,Participate_AgrLoan,Participate_CommSupp,Participate_DykeCon,Participate_Irrigation,Participate_Livestock,Participate_Marketing,Participate_Meg,Participate_Radio,Participate_TVET_formal,Participate_TVET_informal,Participate_WaterManage,Participate_YouthGroup,source_caregroup,source_cluster,source_healthfacil,source_interpersonal,source_other,source_promoter,source_radio,source_socialmedia,source_tfd,source_training,frame_c06
38,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,Mutare,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,NA,0,0,1,0,0,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,NA,0,0,1,0,1,0,1,1,Male,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,Mutare,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,NA,0,0,0,0,1,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,Mutare,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,Mutare,1,0,Adult Male and Adult Female (M&F),1,1,1,1,1,1,0,0,1,1,0,0,1,0,NA,0,0,0,0,1,0,0,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,NA,0,0,0,0,1,0,0,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,Mutare,1,0,Adult Male and Adult Female (M&F),0,1,0,0,1,0,0,0,1,1,0,0,1,0,NA,1,1,1,0,1,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,NA,1,0,1,0,1,0,1,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,Mutare,0,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,5,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Jeche,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,5,Buhera,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,1,0,1,0,1,0,NA,0,0,1,0,0,0,1,0,Female,Jeche,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,5,Buhera,0,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,NA,0,0,1,0,1,0,1,1,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,5,Buhera,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,E,Chivi,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,1,0,NA,0,1,0,0,0,0,0,0,Male,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,E,Chivi,1,0,Adult Male and Adult Female (M&F),0,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,E,Chivi,2,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,1,0,NA,0,0,1,0,0,0,1,1,Male,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,E,Chivi,2,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,1,0,NA,0,0,1,0,0,0,1,0,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,E,Chivi,1,1,Adult Male and Adult Female (M&F),0,1,0,1,1,1,0,0,5,0,0,0,1,0,NA,0,0,0,1,0,0,0,0,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,E,Chivi,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,NA,0,0,0,0,0,0,1,1,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,E,Chivi,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,1,1,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,E,Chivi,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,1,Male,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,E,Chivi,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,E,Chivi,1,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,5,Zaka,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,1,0,0,1,1,1,NA,1,0,1,0,0,0,0,1,Female,Jeri,28,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,5,Zaka,1,0,Adult Male and Adult Female (M&F),0,1,1,0,1,0,0,0,1,1,0,0,1,0,NA,0,0,1,0,0,0,0,1,Female,Jeri,28,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,Zaka,1,0,Adult Male and Adult Female (M&F),0,1,1,1,1,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,Female,Njaya,28,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,5,Buhera,2,1,Adult Male and Adult Female (M&F),0,0,0,0,1,0,0,3,1,0,0,0,1,0,NA,1,0,0,0,0,0,1,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,5,Buhera,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,5,Buhera,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,E,Chivi,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,1,0,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,E,Chivi,0,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Male,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,E,Chivi,0,3,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Manyumbu,8,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,5,Buhera,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,5,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,1,0,0,0,0,0,0,Male,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,5,Buhera,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Male,Jeche,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,4,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,5,Buhera,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,5,Buhera,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,1,Male,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,5,Buhera,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,NA,1,0,0,1,0,0,1,1,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,5,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,1,0,0,1,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,5,Buhera,1,1,Adult Male no Adult Female (MnF),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,5,Buhera,0,2,Adult Male and Adult Female (M&F),0,1,1,0,0,0,1,1,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,1,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,5,Buhera,2,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,5,Buhera,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Male,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,5,Buhera,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,5,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,5,Buhera,0,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Jeche,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,5,Buhera,1,NA,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,5,Buhera,0,2,Adult Male and Adult Female (M&F),1,1,0,1,1,1,0,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,5,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Jeche,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,5,Buhera,2,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,5,Buhera,0,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,CHIMOMBE,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,5,Buhera,0,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,1,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,5,Buhera,1,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,1,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,5,Buhera,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Chimombe,10,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,Mutare,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,NA,0,0,1,0,0,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,Mutare,0,1,Adult Female no Adult Male (FnM),1,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,1,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,5,Zaka,0,1,Adult Male and Adult Female (M&F),0,1,0,1,1,1,0,3,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,Female,Matare,28,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,5,Zaka,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,NA,0,0,1,0,0,0,1,1,Female,Matare,28,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,Mutare,2,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,0,1,0,0,0,1,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,Mutare,0,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,5,0,0,0,1,0,1,NA,0,0,1,1,0,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,Mutare,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,NA,0,0,0,0,1,0,0,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,Mutare,0,1,Adult Male and Adult Female (M&F),1,1,1,1,1,1,1,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,Zaka,2,1,Adult Female no Adult Male (FnM),0,0,1,0,1,0,0,0,0,0,0,0,1,0,NA,0,0,1,0,0,0,0,1,Female,Guvanye,28,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,5,Zaka,2,1,Adult Male and Adult Female (M&F),1,0,0,1,0,1,0,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,1,Female,Njaya,28,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,3,Buhera,1,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Ndongwe,15,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,3,Buhera,3,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,Ndongwe,15,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,3,Buhera,3,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Ndongwe,15,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,3,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Ndongwe,15,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,3,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Hwechuma,15,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,3,Buhera,0,2,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Gwemende,15,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
