Age,Cluster,District,Female_15_29,Female_30,Gendered_HH_Type,KFP_Comp_Feed,KFP_Comp_Feed_2,KFP_criticalhandwashing,KFP_Dietary_Diversity,KFP_Exclusive,KFP_Initiation,KFP_minmeal,Men_15_29,Men_30,Participate_CareGroup,Participate_CashTransfer,Participate_Disaster,Participate_FFB,Participate_GenderedClimate,Participate_IGA,Participate_Natural,Participate_PTS,Participate_ResilienceDesign,Participate_SAADialoguesGender,Participate_SuppFeeding,Participate_TVET,Participate_VillageSavings,Participate_WASH,Sex,Village,Ward,Frame1_3,Frame3,program,KFP_contbf,KFP_micronutrient,KFP_TimelyImmun,Participate_AgrLoan,Participate_CommSupp,Participate_DykeCon,Participate_Irrigation,Participate_Livestock,Participate_Marketing,Participate_Meg,Participate_Radio,Participate_TVET_formal,Participate_TVET_informal,Participate_WaterManage,Participate_YouthGroup,source_caregroup,source_cluster,source_healthfacil,source_interpersonal,source_other,source_promoter,source_radio,source_socialmedia,source_tfd,source_training,frame_c06
54,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Ringayi,12,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,Mutare,1,0,Adult Male and Adult Female (M&F),0,0,0,1,1,1,0,0,1,0,0,0,1,0,NA,0,1,0,0,1,0,0,0,Female,Ringayi,12,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,B,Chivi,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Chifamba,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,B,Chivi,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,1,0,0,0,0,0,Male,Regera,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,D,Chivi,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,1,0,NA,0,0,1,0,0,0,0,0,Female,Rungwave,17,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,B,Chivi,0,3,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Chifamba,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,B,Chivi,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Chifamba,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,B,Chivi,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Male,Regera,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,D,Chivi,0,2,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Rungwave,17,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,B,Chivi,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,NA,1,0,1,0,1,0,1,0,Female,Chifamba,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,B,Chivi,0,1,Adult Male and Adult Female (M&F),0,0,1,1,1,0,0,1,1,0,0,0,1,0,NA,0,0,0,0,1,0,0,0,Female,Mavesere,14,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,B,Chivi,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,NA,1,0,1,0,0,0,1,0,Female,Regera,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,B,Chivi,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Regera,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,B,Chivi,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,Female,Regera,14,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,9,Zaka,1,0,Adult Male and Adult Female (M&F),0,0,0,0,1,1,0,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,1,Female,Munorwei,25,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,9,Zaka,0,1,Adult Male and Adult Female (M&F),0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,1,0,1,0,0,1,Female,Tukununu,25,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,9,Zaka,1,1,Adult Male and Adult Female (M&F),0,1,0,0,1,1,0,1,1,0,0,0,0,0,NA,0,0,1,0,1,0,0,1,Female,Runesu,25,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,9,Zaka,1,2,Adult Male and Adult Female (M&F),0,0,1,1,0,0,0,0,2,1,0,0,1,0,NA,0,0,1,0,0,0,0,1,Female,Tukununu,25,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,9,Zaka,1,1,Adult Male and Adult Female (M&F),0,0,0,1,1,0,0,2,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,Female,Tukununu,25,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,5,Zaka,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,Female,Makamba,25,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,5,Zaka,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,Female,Makamba,25,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,4,Buhera,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Rukweza,11,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,4,Buhera,0,1,Adult Female no Adult Male (FnM),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Rukweza,11,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4,Buhera,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,3,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Female,Rukweza,11,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,4,Buhera,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,Male,Rukweza,11,0,0,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,4,Buhera,1,0,Adult Male and Adult Female (M&F),1,1,1,1,0,0,1,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,Female,Mupfumi,11,1,1,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
