Age,Cluster,District,Female_15_29,Female_30,Gendered_HH_Type,KFP_Comp_Feed,KFP_Comp_Feed_2,KFP_criticalhandwashing,KFP_Dietary_Diversity,KFP_Exclusive,KFP_Initiation,KFP_minmeal,Men_15_29,Men_30,Participate_CareGroup,Participate_CashTransfer,Participate_Disaster,Participate_FFB,Participate_GenderedClimate,Participate_IGA,Participate_Natural,Participate_PTS,Participate_ResilienceDesign,Participate_SAADialoguesGender,Participate_SuppFeeding,Participate_TVET,Participate_VillageSavings,Participate_WASH,Sex,Village,Ward,Frame1_3,Frame3,program,KFP_contbf,KFP_micronutrient,KFP_TimelyImmun,Participate_AgrLoan,Participate_CommSupp,Participate_DykeCon,Participate_Irrigation,Participate_Livestock,Participate_Marketing,Participate_Meg,Participate_Radio,Participate_TVET_formal,Participate_TVET_informal,Participate_WaterManage,Participate_YouthGroup,source_caregroup,source_cluster,source_healthfacil,source_interpersonal,source_other,source_promoter,source_radio,source_socialmedia,source_tfd,source_training,frame_c06,KFP_sum,interventions,frame
26,MSONTHE,MANGOCHI,1,0,Adult Male no Adult Female (MnF),NA,0,NA,0,0,0,NA,0,1,0,1,0,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,Female,BWANALI,CHILIPA,NA,NA,TITUKULANE,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,2,2,2,2,2,1,2,2,2,2,Health and Nutrition,2,13,1
23,CHIPANDE,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,Female,CHIPANDE,CHIKOWI,NA,NA,TITUKULANE,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,16,1
36,BAMUSI,MANGOCHI,1,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,0,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,BAMUSI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,11,1
43,BAMUSI,MANGOCHI,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,1,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,Male,BAMUSI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,2,2,2,2,2,2,2,Health and Nutrition,0,10,1
26,BAMUSI,MANGOCHI,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,MIKA,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,Health and Nutrition,0,14,1
32,BAMUSI,MANGOCHI,0,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,1,Female,MIKA,CHILIPA,NA,NA,TITUKULANE,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,2,1,2,2,1,1,1,2,1,Health and Nutrition,0,12,1
34,MSONTHE,MANGOCHI,0,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,Female,BWANALI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,2,1,1,2,1,1,1,2,1,Health and Nutrition,0,8,1
36,CHIPANDE,ZOMBA,0,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,1,NA,0,0,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,Female,CHIPANDE,CHIKOWI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,Health and Nutrition,1,17,1
25,BAMUSI,MANGOCHI,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,0,0,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,0,1,Female,BAMUSI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,Health and Nutrition,0,16,1
21,MSONTHE,MANGOCHI,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,1,1,NA,1,1,1,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,MAKWINJA,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2,2,1,2,1,1,2,2,2,Health and Nutrition,2,13,1
33,BAMUSI,MANGOCHI,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,1,0,0,1,NA,NA,NA,0,NA,NA,1,NA,NA,1,0,Female,BAMUSI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,2,1,2,1,1,2,2,1,Health and Nutrition,0,12,1
28,MSONTHE,MANGOCHI,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,Female,BWANALI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,2,1,2,1,1,1,2,1,Health and Nutrition,0,7,1
39,BAMUSI,MANGOCHI,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,3,1,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,Female,MIKA,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,Health and Nutrition,0,18,1
35,MSONTHE,MANGOCHI,2,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,1,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,Female,JALAKASI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,Health and Nutrition,0,18,1
31,BAMUSI,MANGOCHI,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,BAMUSI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,2,2,2,2,Health and Nutrition,0,10,1
42,MSONTHE,MANGOCHI,1,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,0,0,1,1,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,Female,MAKWINJA,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,12,1
35,BAMUSI,MANGOCHI,0,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,1,1,NA,NA,NA,0,NA,NA,1,NA,NA,0,0,Female,BAMUSI,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,13,1
32,MSONTHE,MANGOCHI,0,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,1,NA,0,0,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,MAKWINJA,CHILIPA,NA,NA,TITUKULANE,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,Health and Nutrition,1,13,1
32,CHIPANDE,ZOMBA,0,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,Female,CHIPANDE,CHIKOWI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,18,1
32,CHIPANDE,ZOMBA,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,CHIPANDE,CHIKOWI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,Health and Nutrition,0,14,1
46,CHIPANDE,ZOMBA,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,4,0,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,1,0,Female,CHIPANDE,CHIKOWI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,Health and Nutrition,0,14,1
25,CHIPANDE,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,0,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,0,0,Female,CHIPANDE,CHIKOWI,NA,NA,TITUKULANE,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,Health and Nutrition,2,17,1
